#ARTIST:blink-182
#TITLE:The Rock Show
#MP3:blink-182 - The Rock Show.mp3
#CREATOR:Canni, Loewy159
#YEAR:2001
#LANGUAGE:English
#BPM:386
#GAP:31980
#VIDEO:v=z7hhDINyBP0,co=the-rock-show-5e3f8064a0f05.jpg,bg=blink-182-4eaea7576e7f3.jpg
: 0 2 4 Hang
: 4 2 4 ing 
: 8 2 4 out 
: 11 2 4 be
: 14 3 1 hind 
: 19 2 4 the 
: 23 7 4 club 
: 32 2 1 on 
: 36 2 -3 the 
: 39 6 4 week
: 47 8 1 end 
- 62
: 65 2 4 Ac
: 68 2 4 ting 
: 72 2 4 stu
: 75 2 4 pid, 
: 80 2 1 get
: 83 2 1 ting 
: 87 6 4 drunk 
: 95 2 1 with 
: 99 2 -3 my 
: 103 5 4 best 
: 111 9 1 friends 
- 122
: 124 2 -3 I 
: 128 2 4 could
: 131 2 4 ~n’t 
: 134 6 4 wait 
: 143 2 1 for 
: 147 2 -3 the 
: 151 2 4 sum
: 155 2 4 mer 
: 159 2 4 and 
: 163 2 6 the 
: 167 7 4 Warped 
: 176 9 1 Tour 
- 190
: 192 2 -3 I 
: 195 4 4 re
: 201 2 4 mem
: 204 2 4 ber 
: 207 2 1 it’s 
: 211 2 -3 the 
: 216 2 4 first 
: 219 2 4 time 
: 223 2 4 that 
: 227 2 6 I 
: 231 6 4 saw 
: 239 2 2 he
: 242 4 -3 ~r 
: 248 10 -3 there 
- 309
: 508 2 4 She’s 
: 512 2 4 get
: 515 2 4 tin’ 
: 519 5 4 kicked 
: 527 2 1 out 
: 531 2 -3 of 
: 534 7 4 school 
: 543 2 1 ’cause 
: 547 3 -3 she’s 
: 552 5 4 fai
: 559 8 4 ling 
- 569
: 571 2 -3 I’m 
: 574 2 4 kind 
: 578 3 4 of 
: 583 2 4 ner
: 587 2 4 vous, 
: 591 2 1 ’cause
: 595 2 -3 I 
: 599 2 4 think 
: 603 3 4 all 
: 608 2 4 her 
: 611 2 6 friends 
: 615 7 4 hate 
: 624 8 1 me 
- 637
: 639 2 4 She’s 
: 643 2 4 the 
: 647 5 4 one, 
: 654 2 1 she’ll 
: 658 3 -3 al
: 663 5 4 ways 
: 672 5 6 be 
: 679 11 4 there 
- 697
: 700 2 4 She 
: 703 2 4 took 
: 707 2 4 my 
: 711 6 4 hand 
: 719 2 4 and 
: 722 2 4 I 
: 726 3 4 made 
: 731 2 4 it, 
: 734 5 6 I 
: 742 11 4 swear 
- 755
: 757 1 -3 Be
: 759 1 -3 cause 
: 761 1 -3 I 
: 763 4 1 fell 
: 769 4 2 in 
: 775 6 4 love 
: 783 2 2 with 
: 786 3 -1 the 
: 791 6 1 girl 
: 799 2 -1 at 
: 803 2 -3 the 
: 807 4 -1 rock 
: 813 5 -3 show 
- 820
: 822 5 1 She 
: 829 7 2 said 
* 838 7 4 What? 
: 847 2 1 and 
: 850 2 -3 I 
: 854 3 1 told 
: 859 2 1 her 
: 863 2 -1 that 
: 866 2 -3 I 
: 870 3 -1 did
: 875 2 1 n’t 
: 878 3 -3 know 
- 883
: 885 7 1 She’s 
: 894 7 2 so 
: 903 6 4 cool, 
: 911 2 1 gon
: 914 2 -3 na 
: 917 3 1 sneak 
: 922 3 2 in 
: 927 2 1 through 
: 930 3 -3 her 
: 935 6 -1 win
: 943 4 -3 dow 
- 949
: 951 2 -1 E
: 955 2 1 very
: 959 5 -1 thing’s 
: 967 2 -1 be
: 970 2 -1 tter 
: 974 4 1 when 
* 981 9 2 she’s 
* 992 5 4 a
* 999 7 2 round 
- 1009
: 1011 2 1 I 
: 1014 2 1 can’t 
: 1018 2 -1 wait 
: 1022 3 -1 ’til 
: 1027 2 -1 her 
: 1031 2 -1 pa
: 1035 3 -1 rents 
: 1040 5 1 go 
: 1047 6 2 out 
: 1055 5 4 of 
: 1062 8 2 town 
- 1074
: 1076 2 -3 I 
: 1079 5 -1 fell 
: 1086 5 -1 in 
: 1093 7 -1 love 
: 1103 2 1 with 
: 1107 2 2 the 
: 1111 6 2 girl 
: 1119 2 -1 at 
: 1123 2 -3 the 
* 1127 4 -1 rock 
* 1133 12 -3 show 
- 1196
: 1406 2 4 When 
: 1410 2 4 we 
: 1414 6 4 said 
: 1422 2 1 we 
: 1425 2 -3 were 
: 1430 2 4 gon
: 1434 2 4 na 
: 1437 3 1 move 
: 1442 2 -3 to 
: 1446 6 4 Ve
: 1455 7 1 gas 
- 1468
: 1471 2 4 I 
: 1474 2 4 re
: 1478 6 4 mem
: 1486 3 1 ber 
: 1491 2 -3 the 
: 1495 2 4 look 
: 1498 3 4 her 
: 1503 2 4 mo
: 1506 2 6 ther 
: 1510 6 4 gave 
: 1519 7 1 us 
- 1532
: 1534 2 6 Se
: 1538 2 4 ven
: 1542 2 4 teen 
: 1545 3 4 with
: 1550 2 1 out 
: 1554 2 -3 a 
: 1558 2 4 pur
: 1562 2 4 pose 
: 1566 2 4 or 
: 1570 2 6 di
: 1574 4 4 rec
: 1580 9 1 tion 
- 1592
: 1594 2 1 We 
: 1598 2 6 don’t 
: 1602 3 4 owe 
: 1607 2 4 a
: 1611 2 4 ny
: 1615 2 4 one 
: 1619 2 4 a 
: 1623 2 1 fuc
: 1626 2 -3 king 
: 1630 2 4 ex
: 1634 2 6 pla
: 1637 5 4 na
: 1644 5 1 tion 
- 1651
: 1653 1 -3 I 
: 1655 6 1 fell 
: 1663 4 2 in 
: 1669 5 4 love 
: 1676 3 2 with 
: 1681 2 -1 the 
: 1686 6 1 girl 
: 1694 2 -1 at 
: 1698 2 -3 the 
: 1702 4 -1 rock 
: 1708 5 -3 show 
- 1715
: 1717 5 1 She 
: 1724 7 2 said 
: 1733 7 4 What? 
: 1742 2 1 and 
: 1745 2 -3 I 
: 1749 3 1 told 
: 1754 2 1 her 
: 1758 2 -1 that 
: 1761 2 -3 I 
: 1765 3 -1 did
: 1770 2 1 n’t 
: 1773 3 -3 know 
- 1778
: 1780 7 1 She’s 
: 1789 7 2 so 
: 1798 6 4 cool, 
: 1806 2 1 gon
: 1809 2 -3 na 
: 1812 3 1 sneak 
: 1817 3 2 in 
: 1822 2 1 through 
: 1825 3 -3 her 
: 1830 6 -1 win
: 1838 4 -3 dow 
- 1844
